,text,likes,retweets,city,sentiment_analysis,url
0,https://t.co/TlsuOJlqg9,0,0,Chad,0.0,https://t.co/TlsuOJlqg9
1,"Allahouma amin ya rab 🤲🤲🤲, inchAllah to you too my dear sister Asseyda https://t.co/MaFWxDNQdr",0,0,Chad,0.3818,https://t.co/MaFWxDNQdr
2,https://t.co/1wEkdO8yIH,0,0,Chad,0.0,https://t.co/1wEkdO8yIH
3,Ruling on allocating reading Surat Al-Baqarah daily || Sheikh Saleh Al-Fawzan https://t.co/AYR6G9M6rc,1,1,Chad,0.0,https://t.co/AYR6G9M6rc
4,"Marry the one who has faith in Allah:
-The one you like when you look at it,
-The one who obeys when you give her an order,
-The one who keeps her person when you are absent,
May 𝗔𝗹𝗹𝗮𝗵 make us just husbands and grant us wives of the same nature. https://t.co/FX1EYRmCfT",8,3,Chad,0.7783,https://t.co/FX1EYRmCfT
5,@Pamguebienvenu It won't last 😅,1,0,Chad,0.0,
6,@burcu_ozberk Torkush,0,0,Chad,0.0,
7,Just posted a photo in Ndjmena City https://t.co/yagpjUEPBW,0,0,Chad,0.0,https://t.co/yagpjUEPBW
8,"Guys we have lots of work to do. Get ready and carve out time to read at least 10 pages per day, 
Don't forget to help yourself improve, your community and your continent !
Get go ! https://t.co/wV2irfHevd",0,0,Chad,0.6588,https://t.co/wV2irfHevd
9,@mahamat_galami Da wen?,0,0,Chad,0.0,
10,"@El_Tounechy I remember an exchange of Sheikh Albani رحمه الله with people on democracy.
Allah ﷻ yastour",0,0,Chad,0.0,
11,@GonneyYaya Amine y’a rab,0,0,Chad,0.0,
12,@ BeeAsh20 Merci ma sœurciere ❣️✌🏿🙏🏾,0,0,Chad,0.0,
13,@kmundyo Here is a truth or else open up a little more to collaborations with English speakers. It can help,0,0,Chad,0.6124,
14,@OndoboGreg That's the very cardinal information of this post: Pr's nephew! The charge of embezzlement is incidental 🤧🤧🤧🤧🤧,1,0,Chad,0.0,
15,Come quickly and choose your future President of the CJPT Union (TL235). Thank you very much @Fatimazamzam8 @bsklana17 @IdHakima @Azzouzdoudoua @Kadi__lova @_Oumar_Faiza_ @Aihsane2 @MSTGHAD @Hawa_bechir https://t.co/Bei3CBWi8r,1,0,Chad,0.3612,https://t.co/Bei3CBWi8r
16,"@FranklinNYAMSI It's to escape misery. For them life is a lottery if you cross, you won",0,0,Chad,0.1779,
17,"@BicharaMoro Where are the investitures of African presidents going. He promises job creation during their election campaigns. If they are Chosen, they deal with each other.",0,0,Chad,0.5719,
18,"@BicharaMoro Young Africans who leave the continent to go to Europe for a better life. But on the way back, there is only drama.",0,0,Chad,0.4019,
19,"The prophet (𝘀𝘄𝘀) said to Djibrîl:
“How come I never saw 𝗠𝗶𝗸𝗮̂𝗶𝗹 laugh?”
Djibril replied:
“He hasn't laughed since the 𝗘𝗻𝗳𝗲𝗿 was created.”
May 𝗔𝗹𝗹𝗮𝗵 preserve us from the flames of the 𝗙𝗲𝘂 of Hell and grant us the 𝗙𝗶𝗿𝗱𝗮𝘄𝘀.",13,1,Chad,-0.6788,
20,@AsraMarius235 Help him with what again? We must leave the diversions!,2,0,Chad,0.4199,
21,https://t.co/Be4EtESdki,0,0,Chad,0.0,https://t.co/Be4EtESdki
22,https://t.co/J8Zv6YG6jq,1,0,Chad,0.0,https://t.co/J8Zv6YG6jq
23,@tieumo_audrey 😱😱😱😱😱,0,0,Chad,0.0,
24,"This grazer (or grazer) @madeleinebouka1 is incorrigible! My sister or brother. Gotta go graze somewhere else. When you read this tweet, you are already blocked. Change profile picture for next time. Stupid like that! 3 times Tchour.",2,0,Chad,-0.555,
25,@ayoush_____ @sm_sylviemady And me who wants to leave but definitely 😇,0,0,Chad,0.5346,
26,@un_berger I am only inquiring,0,0,Chad,0.0,
27,"@un_berger I didn't know so wiki told me this

If that's what it's all about then it's numerology so no more astrology https://t.co/0fKWH0n1jt",2,1,Chad,-0.4341,https://t.co/0fKWH0n1jt
28,@un_berger Astrology or astronomy?,1,0,Chad,0.0,
29,@un_berger In which area,0,0,Chad,0.0,
30,"09:43 on Sunday June 26th, over Chad https://t.co/CqkzlcEBU4",38,4,Chad,0.0,https://t.co/CqkzlcEBU4
31,@un_berger What is it,1,0,Chad,0.0,
